name,ROI_优化模型,ROI_直接计算,j,k,差异,相对差异(%)
白河县,0.0134497666404478,0.013449766640447803,2,1,-1.734723475976807e-18,-1.2897796090825338e-14
平利县,0.0128058189039208,0.012805818903920806,2,1,-6.938893903907228e-18,-5.4185475805711423e-14
镇坪县,0.0141526187325869,0.01415261873258693,2,1,-3.122502256758253e-17,-2.2063070557878983e-13
紫阳县,0.0099971427159889,0.009997142715988994,2,1,-9.367506770274758e-17,-9.370184097995096e-13
岚皋县,0.0117454289149368,0.011745428914936818,2,1,-1.734723475976807e-17,-1.4769349749081842e-13
和田市,0.0115436282054969,0.011543628205496936,2,1,-3.642919299551295e-17,-3.1557836363930893e-13
阳新县,0.038056592644312,0.038056592644312034,2,1,-3.469446951953614e-17,-9.116546466416667e-14
木里藏族自治县,0.0609746444641865,0.060974644464186524,2,1,-2.0816681711721685e-17,-3.4139898468696065e-14
盐源县,0.0582706448524146,0.05827064485241469,2,1,-9.020562075079397e-17,-1.5480456922909087e-13
布拖县,0.0491224909734663,0.04912249097346638,2,1,-8.326672684688674e-17,-1.695083559420133e-13
普格县,0.0518307164815709,0.051830716481570914,2,1,-1.3877787807814457e-17,-2.6775218923992463e-14
鲁山县,0.0181047724338313,0.018104772433831372,2,1,-7.28583859910259e-17,-4.0242641136366637e-13
抚远市,0.0475693997857024,0.047569399785702404,2,1,-6.938893903907228e-18,-1.458688555072499e-14
同江市,0.0475693997857024,0.047569399785702404,2,1,-6.938893903907228e-18,-1.458688555072499e-14
喜德县,0.0504675481874283,0.05046754818742836,2,1,-5.551115123125783e-17,-1.0999375484835986e-13
昭觉县,0.0470719767953604,0.047071976795360404,2,1,-6.938893903907228e-18,-1.4741029326372273e-14
金阳县,0.0411448279050077,0.04114482790500777,2,1,-6.938893903907228e-17,-1.6864559307253024e-13
雷波县,0.0201154629477486,0.02011546294774862,2,1,-2.0816681711721685e-17,-1.0348596880814791e-13
美姑县,0.0377251832190177,0.03772518321901773,2,1,-2.7755575615628914e-17,-7.357307041954136e-14
甘洛县,0.028518580621934,0.028518580621934075,2,1,-7.632783294297951e-17,-2.676424677470611e-13
越西县,0.0402861632706368,0.04028616327063685,2,1,-5.551115123125783e-17,-1.3779210211293047e-13
囊谦县,0.0146009453411243,0.014600945341124372,2,1,-7.28583859910259e-17,-4.989977312346771e-13
治多县,0.0188087774193701,0.018808777419370114,2,1,-1.3877787807814457e-17,-7.378357188448885e-14
称多县,0.0147082152451858,0.014708215245185818,2,1,-1.734723475976807e-17,-1.179424863628239e-13
杂多县,0.0161781663932187,0.016178166393218774,2,1,-7.28583859910259e-17,-4.503500843060012e-13
曲麻莱县,0.0180988997160925,0.018098899716092576,2,1,-7.632783294297951e-17,-4.217263708860317e-13
康乐县,0.0291278167285479,0.029127816728547907,2,1,-6.938893903907228e-18,-2.382222453736631e-14
临夏县,0.028836687109856,0.02883668710985604,2,1,-4.163336342344337e-17,-1.4437637466757953e-13
广河县,0.0291927339024384,0.02919273390243845,2,1,-4.85722573273506e-17,-1.6638475001922787e-13
永靖县,0.0299449798857597,0.029944979885759792,2,1,-9.367506770274758e-17,-3.128239459839957e-13
东乡族自治县,0.0286422682573656,0.02864226825736561,2,1,-1.0408340855860843e-17,-3.633909424468939e-14
和政县,0.0284696874497938,0.02846968744979388,2,1,-7.979727989493313e-17,-2.802885702052583e-13
积石山保安族东乡族撒拉族自治县,0.0293383467463118,0.029338346746311816,2,1,-1.734723475976807e-17,-5.912819461085969e-14
神农架林区,0.0391775017326199,0.03917750173261997,2,1,-6.938893903907228e-17,-1.7711425172702546e-13
